Key,Layer Type,Segment,Cost Type,Cost Object,Spend type,Market Segment,Internal Staff,External Staff,SW Depreciation,HW Depreciation,SW Maintenance,HW Maintenance,Leased Lines,Other IT Cost,Other OOE,Total
3779,Shared Layer,SAP & Corporate Systems (incl Statistix),SAP & Corp. Tools,PSP 5140/P2-01042   Arbeitgeber bedingte Zeiten IT,Run,Clearstream,-1,0,0,0,0,0,0,0,0,-1
3780,Shared Layer,SAP & Corporate Systems (incl Statistix),SAP & Corp. Tools,PSP 5140/P2-01042   Arbeitgeber bedingte Zeiten IT,Run,Data,0,0,0,0,0,0,0,0,0,0
3781,Shared Layer,SAP & Corporate Systems (incl Statistix),SAP & Corp. Tools,PSP 5140/P2-01042   Arbeitgeber bedingte Zeiten IT,Run,Eurex,-1,0,0,0,0,0,0,0,0,-1
3782,Shared Layer,SAP & Corporate Systems (incl Statistix),SAP & Corp. Tools,PSP 5140/P2-01042   Arbeitgeber bedingte Zeiten IT,Run,GSF,0,0,0,0,0,0,0,0,0,0
3783,Shared Layer,SAP & Corporate Systems (incl Statistix),SAP & Corp. Tools,PSP 5140/P2-01042   Arbeitgeber bedingte Zeiten IT,Run,IFS,0,0,0,0,0,0,0,0,0,0
3784,Shared Layer,SAP & Corporate Systems (incl Statistix),SAP & Corp. Tools,PSP 5140/P2-01042   Arbeitgeber bedingte Zeiten IT,Run,Index,0,0,0,0,0,0,0,0,0,0
3785,Shared Layer,SAP & Corporate Systems (incl Statistix),SAP & Corp. Tools,PSP 5140/P2-01042   Arbeitgeber bedingte Zeiten IT,Run,Result,-3,0,0,0,0,0,0,0,0,-3
3786,Shared Layer,SAP & Corporate Systems (incl Statistix),Datawarehouse (Statistix),PSP 0066/S2-02166   StatistiX non cap.,Change,Eurex,-126,0,0,0,0,0,0,0,0,-126
3787,Shared Layer,SAP & Corporate Systems (incl Statistix),Datawarehouse (Statistix),PSP 0066/S2-02166   StatistiX non cap.,Change,Result,-126,0,0,0,0,0,0,0,0,-126
3788,Direct,Derivatives,0,PSP 0001/I4-02203   Eurex R 6.1 System test,Change,Eurex,6,7,0,0,0,0,0,0,0,14
3789,Direct,Derivatives,0,PSP 0001/I4-02203   Eurex R 6.1 System test,Change,Result,6,7,0,0,0,0,0,0,0,14
3790,Direct,Derivatives,0,PSP 0066/I4-02203   Eurex R 6.1 System test,Change,Eurex,-7,-8,0,0,0,0,0,0,0,-15
3791,Direct,Derivatives,0,PSP 0066/I4-02203   Eurex R 6.1 System test,Change,Result,-7,-8,0,0,0,0,0,0,0,-15
3792,Direct,Derivatives,0,PSP 0001/I7-02203   Eurex R 6.1 Acceptance,Change,Eurex,-8,0,0,0,0,0,0,0,0,-8
3793,Direct,Derivatives,0,PSP 0001/I7-02203   Eurex R 6.1 Acceptance,Change,Result,-8,0,0,0,0,0,0,0,0,-8
3794,Direct,Derivatives,0,PSP 0071/I7-02203   Eurex R 6.1 Acceptance,Change,Eurex,-24,0,0,0,0,0,0,0,0,-24
3795,Direct,Derivatives,0,PSP 0071/I7-02203   Eurex R 6.1 Acceptance,Change,Result,-24,0,0,0,0,0,0,0,0,-24
3796,Direct,Derivatives,0,PSP 0001/I8-02203   Eurex R 6.1 Service Implementation,Change,Eurex,-11,0,0,0,0,0,0,0,0,-11
3797,Direct,Derivatives,0,PSP 0001/I8-02203   Eurex R 6.1 Service Implementation,Change,Result,-11,0,0,0,0,0,0,0,0,-11
3798,Direct,Derivatives,0,PSP 0071/I8-02203   Eurex R 6.1 Service Implementation,Change,Eurex,-25,0,0,0,0,0,0,0,0,-25
3799,Direct,Derivatives,0,PSP 0071/I8-02203   Eurex R 6.1 Service Implementation,Change,Result,-25,0,0,0,0,0,0,0,0,-25
3800,Direct,Derivatives,0,PSP 0001/I9-02203   Eurex R 6.1 PMT,Change,Eurex,-1,0,0,0,0,0,0,0,0,-1
3801,Direct,Derivatives,0,PSP 0001/I9-02203   Eurex R 6.1 PMT,Change,Result,-1,0,0,0,0,0,0,0,0,-1
